Price,Year,Mileage,City,State,Vin,Make,Model
16988,2014,47760,Scottsdale, AZ,WBA3C1C5XEK113707,BMW,3
18296,2014,38500,Phoenix, AZ,WBA3B1C54EP679898,BMW,3
14998,2014,76117,Phoenix, AZ,WBA3C1C58EK111325,BMW,3
18691,2014,63102,Tucson, AZ,WBA3A5C52EP603316,BMW,3
18500,2014,36057,Scottsdale, AZ,WBA3B1C5XEK132101,BMW,3
18551,2014,61215,Chandler, AZ,WBA3B1C51EK134531,BMW,3
17877,2014,61504,Merriam, KS,WBA3C3G58ENS70804,BMW,3
17995,2014,44719,Raleigh, NC,WBA3B5C55EP539821,BMW,3
15500,2014,20423,Scottsdale, AZ,WBY1Z2C58EV286055,BMW,i3Hatchback
19555,2014,33060,Chandler, AZ,WBAVM1C59EVW50587,BMW,X1sDrive28i
20741,2014,39467,Chandler, AZ,WBA3B1G59ENS80247,BMW,3
16955,2014,29514,Chandler, AZ,WBY1Z2C50EVX51394,BMW,i3Hatchback
18750,2014,48399,Scottsdale, AZ,WBA3B1C51EPV79886,BMW,3
18900,2014,20777,Greensboro, NC,WBAVM1C52EVW50026,BMW,X1sDrive28i
18498,2014,67070,Winston-Salem, NC,WBA3D5C55EKX98106,BMW,3
17547,2014,11280,Phoenix, AZ,WBY1Z2C51EV285538,BMW,i3Hatchback
21500,2014,11192,Scottsdale, AZ,WBA3B1G51ENS78279,BMW,3
19498,2014,35745,Charlotte, NC,WBA3A5C52EP602571,BMW,3
19981,2014,36648,Scottsdale, AZ,WBA3B1C52EK130911,BMW,3
27000,2014,59021,Kansas City, KS,WBA5B3C50ED292576,BMW,5
30990,2014,21872,Wilmington, NC,5UXWX9C54E0D27639,BMW,X3xDrive28i
30870,2014,30655,Chapel Hill, NC,WBA5A7C50ED616183,BMW,5
27551,2014,49115,Charlotte, NC,5UXWX9C58E0D25859,BMW,X3xDrive28i
30875,2014,32920,Chapel Hill, NC,WBA5A5C59ED501179,BMW,5
30881,2014,26084,Charlotte, NC,WBA5A5C53ED512243,BMW,5
28981,2014,40170,Charlotte, NC,WBA5B1C58ED482274,BMW,5
29998,2014,28443,Tempe, AZ,WBA5A5C59ED506527,BMW,5
27974,2014,53253,Charlotte, NC,WBA5B1C50ED479885,BMW,5
28445,2014,64201,Chapel Hill, NC,WBA5B1C50ED479062,BMW,5
27995,2014,38974,Charlotte, NC,5UXWX9C58E0D29958,BMW,X3xDrive28i
30551,2014,32311,Charlotte, NC,WBA5A5C5XED511641,BMW,5
27911,2014,49574,Charlotte, NC,5UXWX9C51E0D35925,BMW,X3xDrive28i
30989,2014,26289,Charlotte, NC,WBA5A5C57ED508437,BMW,5
29500,2014,36258,Scottsdale, AZ,WBA5A5C57ED510091,BMW,5
28998,2014,43805,Tempe, AZ,WBA5B1C58ED482761,BMW,5
30730,2014,32454,Phoenix, AZ,WBA5A5C59ED511355,BMW,5
26500,2014,73969,Greensboro, NC,WBAXA5C52ED689388,BMW,5
21480,2014,45950,North Scottsdale, AZ,WBA3X5C57ED243427,BMW,3
29998,2014,32344,Tempe, AZ,WBA5A5C53ED510539,BMW,5
27787,2014,46492,Tempe, AZ,5UXWX7C58E0E81596,BMW,X3xDrive35i
25000,2014,12990,Charlotte, NC,WBA3N3C59EK230622,BMW,4
24277,2014,21821,Tempe, AZ,WBA3N7C5XEK220236,BMW,4
25777,2014,20381,Merriam, KS,WBA3N7C51EK220464,BMW,4
31331,2014,28785,Charlotte, NC,WBA5A5C51ED511558,BMW,5
28990,2014,33037,Morrisville, NC,5UXWX9C55E0D29724,BMW,X3xDrive28i
34472,2014,29955,Charlotte, NC,WBA3A9G57ENS64744,BMW,3
32991,2014,9549,Charlotte, NC,WBA5A5C52ED511892,BMW,5
23997,2014,36261,Jacksonville, NC,WBA1F5C54EV255913,BMW,2
29986,2014,48807,Cary, NC,WBA5B1C53ED481355,BMW,5
31998,2014,27060,Phoenix, AZ,WBA5B1C58ED480251,BMW,5
24649,2014,27477,Charlotte, NC,WBA3N7C53EK220126,BMW,4
25477,2014,33900,Merriam, KS,WBA3N9C57EK245915,BMW,4
23219,2014,44974,Charlotte, NC,WBA3N9C51EF721620,BMW,4
